,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
0,0,missing,missing,secondary,missing,4.0,85.977,25.0,False,missing,,Central Park West,195743153,,,
1,1,missing,missing,secondary,missing,4.0,85.559,25.0,False,missing,"LINESTRING (587729.3566539395 4516859.027183867, 587697.8228812596 4516801.020727555, 587688.5169434904 4516783.912641392)",Central Park West,195743153,,,
2,2,missing,missing,secondary,missing,4.0,137.823,25.0,False,missing,"LINESTRING (587729.3566539395 4516859.027183867, 587696.7093404862 4516876.437160955, 587672.8926632503 4516889.133508972, 587640.1693017025 4516906.576134729, 587607.5734242436 4516923.953797099)",West 106th Street,"[420625565, 420625573, 5668966]",,,
3,3,missing,missing,residential,missing,4.0,84.572,25.0,False,missing,,Manhattan Avenue,5671485,,,
4,4,missing,missing,residential,missing,4.0,86.442,25.0,False,missing,,Manhattan Avenue,195743186,,,
5,5,missing,missing,secondary,missing,4.0,137.82299999999998,25.0,False,missing,"LINESTRING (587607.5734242436 4516923.953797099, 587640.1693017025 4516906.576134729, 587672.8926632503 4516889.133508972, 587696.7093404862 4516876.437160955, 587729.3566539395 4516859.027183867)",West 106th Street,"[420625565, 5668966, 420625573]",,,
6,6,missing,missing,secondary,missing,4.0,135.105,25.0,False,missing,"LINESTRING (587607.5734242436 4516923.953797099, 587573.6588373632 4516942.270790687, 587523.1946931032 4516969.540444425, 587495.6488967451 4516984.424799906, 587488.5501908462 4516988.259968652)",West 106th Street,"[195743201, 420625570, 420625566]",,,
7,7,missing,missing,primary,missing,4.0,85.233,25.0,True,missing,,Columbus Avenue,420625563,,,
8,8,missing,missing,secondary,missing,4.0,272.632,25.0,False,missing,,West 106th Street,420625567,,,
9,9,missing,missing,secondary,missing,4.0,135.105,25.0,False,missing,"LINESTRING (587488.5501908462 4516988.259968652, 587495.6488967451 4516984.424799906, 587523.1946931032 4516969.540444425, 587573.6588373632 4516942.270790687, 587607.5734242436 4516923.953797099)",West 106th Street,"[195743201, 420625570, 420625566]",,,
10,10,missing,missing,primary,missing,4.0,85.896,25.0,True,missing,,Amsterdam Avenue,196116970,,,
11,11,missing,missing,secondary,missing,4.0,272.632,25.0,False,missing,,West 106th Street,420625567,,,
12,12,missing,missing,secondary,missing,4.0,200.545,25.0,False,missing,"LINESTRING (587248.3703524502 4517118.029588384, 587211.0881971085 4517138.040444722, 587110.4676228365 4517192.022306017, 587071.420257351 4517212.978962775)",West 106th Street,"[420625569, 196117060, 420625564]",,,
13,13,missing,missing,primary,missing,4.0,95.652,25.0,True,missing,,Broadway,196116982,,,
14,14,missing,missing,secondary,missing,4.0,54.849999999999994,25.0,False,missing,"LINESTRING (587053.9605225283 4517223.365085893, 587043.7792746078 4517228.940765453, 587005.7886971296 4517249.743661878)",West 106th Street,"[420625568, 68674963]",,,
15,15,missing,missing,secondary,missing,4.0,20.291,25.0,False,missing,"LINESTRING (587053.9605225283 4517223.365085893, 587064.0540915168 4517217.355395343, 587071.420257351 4517212.978962775)",West 106th Street,195743200,,,
16,16,missing,missing,residential,missing,4.0,143.557,25.0,False,missing,,West 106th Street,46563041,,,
17,17,missing,missing,secondary,missing,4.0,87.193,25.0,False,missing,,West End Avenue,195743221,,,
18,18,missing,missing,secondary,missing,4.0,54.849999999999994,25.0,False,missing,"LINESTRING (587005.7886971296 4517249.743661878, 587043.7792746078 4517228.940765453, 587053.9605225283 4517223.365085893)",West 106th Street,"[420625568, 68674963]",,,
19,19,missing,missing,residential,missing,4.0,143.557,25.0,False,missing,,West 106th Street,46563041,,,
20,20,missing,missing,residential,missing,4.0,85.318,25.0,True,missing,"LINESTRING (586879.0738045921 4517317.621573798, 586881.8423360685 4517321.817484843, 586919.8709667913 4517392.464610908)",Riverside Drive,46111610,,,
21,21,missing,missing,primary,missing,4.0,86.235,25.0,True,missing,,Columbus Avenue,195743159,,,
22,22,missing,missing,residential,missing,4.0,273.469,25.0,True,missing,,West 80th Street,5668968,,,
23,23,missing,missing,primary,missing,4.0,80.648,25.0,True,missing,,Amsterdam Avenue,195743132,,,
24,24,missing,missing,residential,missing,4.0,17.096,25.0,True,missing,,West 80th Street,5668968,,,
25,25,missing,missing,primary,missing,4.0,86.208,25.0,True,missing,,Broadway,404253364,,,
26,26,missing,missing,residential,missing,4.0,105.553,25.0,True,missing,,West 80th Street,5668968,,,
