,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
0,,,,secondary,,,85.977,,Central Park West,False,195743153,,,,
1,,,"LINESTRING (587729.3566539395 4516859.027183867, 587697.8228812596 4516801.020727555, 587688.5169434904 4516783.912641392)",secondary,,,85.559,,Central Park West,False,195743153,,,,
2,,,"LINESTRING (587729.3566539395 4516859.027183867, 587696.7093404862 4516876.437160955, 587672.8926632503 4516889.133508972, 587640.1693017025 4516906.576134729, 587607.5734242436 4516923.953797099)",secondary,,,137.823,,West 106th Street,False,"[420625565, 420625573, 5668966]",,,,
3,,,,residential,,,84.572,,Manhattan Avenue,False,5671485,,,,
4,,,,residential,,,86.442,,Manhattan Avenue,False,195743186,,,,
5,,,"LINESTRING (587607.5734242436 4516923.953797099, 587640.1693017025 4516906.576134729, 587672.8926632503 4516889.133508972, 587696.7093404862 4516876.437160955, 587729.3566539395 4516859.027183867)",secondary,,,137.82299999999998,,West 106th Street,False,"[420625565, 5668966, 420625573]",,,,
6,,,"LINESTRING (587607.5734242436 4516923.953797099, 587573.6588373632 4516942.270790687, 587523.1946931032 4516969.540444425, 587495.6488967451 4516984.424799906, 587488.5501908462 4516988.259968652)",secondary,,,135.105,,West 106th Street,False,"[195743201, 420625570, 420625566]",,,,
7,,,,primary,,,85.233,25 mph,Columbus Avenue,True,420625563,,,,
8,,,,secondary,,,272.632,,West 106th Street,False,420625567,,,,
9,,,"LINESTRING (587488.5501908462 4516988.259968652, 587495.6488967451 4516984.424799906, 587523.1946931032 4516969.540444425, 587573.6588373632 4516942.270790687, 587607.5734242436 4516923.953797099)",secondary,,,135.105,,West 106th Street,False,"[195743201, 420625570, 420625566]",,,,
10,,,,primary,,,85.896,,Amsterdam Avenue,True,196116970,,,,
11,,,,secondary,,,272.632,,West 106th Street,False,420625567,,,,
12,,,"LINESTRING (587248.3703524502 4517118.029588384, 587211.0881971085 4517138.040444722, 587110.4676228365 4517192.022306017, 587071.420257351 4517212.978962775)",secondary,,,200.545,,West 106th Street,False,"[420625569, 196117060, 420625564]",,,,
13,,,,primary,,,95.652,,Broadway,True,196116982,,,,
14,,,"LINESTRING (587053.9605225283 4517223.365085893, 587043.7792746078 4517228.940765453, 587005.7886971296 4517249.743661878)",secondary,,,54.849999999999994,,West 106th Street,False,"[420625568, 68674963]",,,,
15,,,"LINESTRING (587053.9605225283 4517223.365085893, 587064.0540915168 4517217.355395343, 587071.420257351 4517212.978962775)",secondary,,,20.291,,West 106th Street,False,195743200,,,,
16,,,,residential,,,143.557,,West 106th Street,False,46563041,,,,
17,,,,secondary,,,87.193,,West End Avenue,False,195743221,,,,
18,,,"LINESTRING (587005.7886971296 4517249.743661878, 587043.7792746078 4517228.940765453, 587053.9605225283 4517223.365085893)",secondary,,,54.849999999999994,,West 106th Street,False,"[420625568, 68674963]",,,,
19,,,,residential,,,143.557,,West 106th Street,False,46563041,,,,
20,,,"LINESTRING (586879.0738045921 4517317.621573798, 586881.8423360685 4517321.817484843, 586919.8709667913 4517392.464610908)",residential,,,85.318,,Riverside Drive,True,46111610,,,,
21,,,,primary,,,86.235,25 mph,Columbus Avenue,True,195743159,,,,
22,,,,residential,,,273.469,,West 80th Street,True,5668968,,,,
23,,,,primary,,,80.648,,Amsterdam Avenue,True,195743132,,,,
24,,,,residential,,,17.096,,West 80th Street,True,5668968,,,,
25,,,,primary,,,86.208,,Broadway,True,404253364,,,,
26,,,,residential,,,105.553,,West 80th Street,True,5668968,,,,
27,,,,secondary,,,79.65,,West End Ave.,False,169381959,,,,
28,,,,secondary,,,86.364,,West End Ave.,False,169381959,,,,
29,,,,residential,,,128.513,,West 80th Street,True,5668968,,,,
30,,,"LINESTRING (585891.9040922709 4515454.814091566, 585847.0702721083 4515397.272472708, 585837.9566980517 4515385.609269893)",secondary,,,87.758,,Riverside Drive,False,46111607,,,,
31,,,"LINESTRING (585891.9040922709 4515454.814091566, 585925.0027749658 4515498.230838993, 585932.9821527482 4515510.891295654, 585938.6799335228 4515520.916224236)",secondary,,,81.113,,Riverside Drive,False,46111607,,,,
32,,,,tertiary_link,,,20.681,,,True,5668973,,,,
33,,,,primary,,4,38.566,,Broadway,False,223486858,US 9,,,
34,,,,primary,,4,42.448,,Broadway,False,223486858,US 9,,,
